geocode,municipio,latitude,longitude
1701051,ANGICO,-6.387753,-47.862078
1701101,APARECIDA DO RIO NEGRO,-9.955878,-47.97667
1701309,ARAGOMINAS,-7.164349,-48.52343
1701903,ARAGUACEMA,-8.801803,-49.561813
1702000,ARAGUAÇU,-12.925584,-49.828612
1702109,ARAGUAÍNA,-7.191329,-48.208705
1702158,ARAGUANÃ,-6.582249,-48.64375
1702208,ARAGUATINS,-5.650586,-48.123507
1702307,ARAPOEMA,-7.65257,-49.075637
1702406,ARRAIAS,-12.93442,-46.946107
1702554,AUGUSTINÓPOLIS,-5.465414,-47.880957
1702703,AURORA DO TOCANTINS,-12.70849,-46.407083
1702901,AXIXÁ DO TOCANTINS,-5.624309,-47.774156
1703008,BABAÇULÂNDIA,-7.201865,-47.758816
1703057,BANDEIRANTES DO TOCANTINS,-7.764859,-48.578381
1703073,BARRA DO OURO,-7.691767,-47.687135
1703107,BARROLÂNDIA,-9.831653,-48.731461
1703206,BERNARDO SAYÃO,-7.868512,-48.899054
1703305,BOM JESUS DO TOCANTINS,-8.963348,-48.16638
1703602,BRASILÂNDIA DO TOCANTINS,-8.384889,-48.485374
1703701,BREJINHO DE NAZARÉ,-11.010805,-48.55866
1703800,BURITI DO TOCANTINS,-5.313539,-48.22325
1703826,CACHOEIRINHA,-6.113242,-47.914198
1703842,CAMPOS LINDOS,-7.971681,-46.801974
1703867,CARIRI DO TOCANTINS,-11.888997,-49.171041
1703883,CARMOLÂNDIA,-7.031479,-48.39596
1703891,CARRASCO BONITO,-5.322661,-48.030633
1703909,CASEARA,-9.267406,-49.948692
1704105,CENTENÁRIO,-8.958464,-47.338399
1704600,CHAPADA DE AREIA,-10.141989,-49.183108
1705102,CHAPADA DA NATIVIDADE,-11.624268,-47.753905
1705508,COLINAS DO TOCANTINS,-8.054625,-48.481595
1705557,COMBINADO,-12.818608,-46.552072
1705607,CONCEIÇÃO DO TOCANTINS,-12.217278,-47.292869
1706001,COUTO MAGALHÃES,-8.355118,-49.176572
1706100,CRISTALÂNDIA,-10.590725,-49.1863
1706258,CRIXÁS DO TOCANTINS,-11.104274,-48.915514
1706506,DARCINÓPOLIS,-6.712351,-47.752161
1707009,DIANÓPOLIS,-11.625232,-46.820409
1707108,DIVINÓPOLIS DO TOCANTINS,-9.795301,-49.205413
1707207,DOIS IRMÃOS DO TOCANTINS,-9.261297,-49.067339
1707306,DUERÉ,-11.341285,-49.265876
1707405,ESPERANTINA,-5.366608,-48.544148
1707553,FÁTIMA,-10.752509,-48.898983
1707652,FIGUEIRÓPOLIS,-12.13678,-49.173847
1707702,FILADÉLFIA,-7.337612,-47.484964
1708205,FORMOSO DO ARAGUAIA,-11.805142,-49.52686
1708254,FORTALEZA DO TABOCÃO,-9.058965,-48.517426
1708304,GOIANORTE,-8.770521,-48.93689
1709005,GOIATINS,-7.709172,-47.315435
1709302,GUARAÍ,-8.836166,-48.508641
1709500,GURUPI,-11.729772,-49.071477
1709807,IPUEIRAS,-11.246289,-48.451926
1710508,ITACAJÁ,-8.390981,-47.768112
1710706,ITAGUATINS,-5.775385,-47.479936
1710904,ITAPIRATINS,-8.38433,-48.1112
1711100,ITAPORÃ DO TOCANTINS,-8.568829,-48.693264
1711506,JAÚ DO TOCANTINS,-12.652926,-48.594608
1711803,JUARINA,-8.117424,-49.098643
1711902,LAGOA DA CONFUSÃO,-10.788696,-49.620085
1711951,LAGOA DO TOCANTINS,-10.296887,-47.561447
1712009,LAJEADO,-9.744682,-48.358504
1712157,LAVANDEIRA,-12.791659,-46.506676
1712405,LIZARDA,-9.59457,-46.675165
1712454,LUZINÓPOLIS,-6.19399,-47.856828
1712504,MARIANÓPOLIS DO TOCANTINS,-9.79888,-49.651034
1712702,MATEIROS,-10.544429,-46.412466
1712801,MAURILÂNDIA DO TOCANTINS,-5.952566,-47.50488
1713205,MIRACEMA DO TOCANTINS,-9.568346,-48.387991
1713304,MIRANORTE,-9.517405,-48.592632
1713601,MONTE DO CARMO,-10.763542,-48.11042
1713700,MONTE SANTO DO TOCANTINS,-10.005591,-48.990891
1713809,PALMEIRAS DO TOCANTINS,-6.611862,-47.558684
1713957,MURICILÂNDIA,-7.138519,-48.606745
1714203,NATIVIDADE,-11.705357,-47.727258
1714302,NAZARÉ,-6.372558,-47.666977
1714880,NOVA OLINDA,-7.633315,-48.424807
1715002,NOVA ROSALÂNDIA,-10.566871,-48.906181
1715101,NOVO ACORDO,-9.968486,-47.668148
1715150,NOVO ALEGRE,-12.909939,-46.577297
1715259,NOVO JARDIM,-11.815875,-46.630787
1715507,OLIVEIRA DE FÁTIMA,-10.708363,-48.907402
1715705,PALMEIRANTE,-7.857561,-47.93425
1715754,PALMEIRÓPOLIS,-13.039888,-48.413414
1716109,PARAÍSO DO TOCANTINS,-10.171221,-48.88663
1716208,PARANÃ,-12.620481,-47.884084
1716307,PAU D'ARCO,-7.539998,-49.363306
1716505,PEDRO AFONSO,-8.96445,-48.177556
1716604,PEIXE,-12.029774,-48.537811
1716653,PEQUIZEIRO,-8.593341,-48.93518
1716703,COLMÉIA,-8.729372,-48.757067
1717008,PINDORAMA DO TOCANTINS,-11.138203,-47.575688
1717206,PIRAQUÊ,-6.769777,-48.293707
1717503,PIUM,-10.440931,-49.166658
1717800,PONTE ALTA DO BOM JESUS,-12.087813,-46.469587
1717909,PONTE ALTA DO TOCANTINS,-10.740673,-47.54118
1718006,PORTO ALEGRE DO TOCANTINS,-11.607259,-47.047426
1718204,PORTO NACIONAL,-10.70857,-48.412153
1718303,PRAIA NORTE,-5.396713,-47.814732
1718402,PRESIDENTE KENNEDY,-8.529961,-48.504331
1718451,PUGMIL,-10.424307,-48.89422
1718501,RECURSOLÂNDIA,-8.73536,-47.238041
1718550,RIACHINHO,-6.442211,-48.141046
1718659,RIO DA CONCEIÇÃO,-11.40494,-46.8804
1718709,RIO DOS BOIS,-9.343742,-48.533048
1718758,RIO SONO,-9.347789,-47.899942
1718808,SAMPAIO,-5.349296,-47.875792
1718840,SANDOLÂNDIA,-12.5416,-49.933388
1718865,SANTA FÉ DO ARAGUAIA,-7.149936,-48.693942
1718881,SANTA MARIA DO TOCANTINS,-8.774976,-47.74527
